"condition" "subject" "block" "acc_mean" "rt_mean"
1 23 20 0.2 0.464884
1 24 20 0.44 0.859116
1 26 20 0.56 2.978392
1 27 20 0.36 1.283864
1 28 20 0.16 0.495244
1 29 20 0.32 2.211444
1 30 20 0.32 0.551392
1 2 21 0.28 0.517904
1 3 21 0.2 0.540744
1 5 21 0.6 1.312248
1 6 21 0.32 0.69888
1 7 21 0.08 1.060616
1 9 21 0.24 1.181136
1 10 21 0.32 1.78314
1 11 21 0.4 1.036304
1 12 21 0.32 4.825844
1 13 21 0.4 1.398412
1 15 21 0.2 1.737728
1 16 21 0.44 1.256388
1 18 21 0.28 1.270888
1 19 21 0.28 0.382928
1 20 21 0.36 0.689532
1 21 21 0.32 0.739668
1 23 21 0.28 0.250012
1 24 21 0.6 1.545988
1 26 21 0.44 2.343392
1 27 21 0.24 1.306952
1 28 21 0.36 0.48832
1 29 21 0.44 1.336084
1 30 21 0.4 0.8332
1 2 22 0.28 0.459384
1 3 22 0.24 0.514492
1 5 22 0.32 1.669076
1 6 22 0.32 0.949848
1 7 22 0.48 0.900904
1 9 22 0.12 0.60318
1 10 22 0.28 0.722568
1 11 22 0.6 0.82252
1 12 22 0.4 2.474044
1 13 22 0.28 1.32084
1 15 22 0.16 0.74196
1 16 22 0.32 1.749328
1 18 22 0.2 1.246156
1 19 22 0.24 0.350148
1 20 22 0.24 0.727564
1 21 22 0.2 0.37434
1 23 22 0.32 1.14088
1 24 22 0.4 1.359752
1 26 22 0.32 0.68526
1 27 22 0.2 1.939368
1 28 22 0.2 0.505136
1 29 22 0.36 2.309868
1 30 22 0.32 0.435836
1 2 23 0.24 0.848244
1 3 23 0.28 0.33952
1 5 23 0.08 0.848468
1 6 23 0.16 0.788072
1 7 23 0.16 0.6774
1 9 23 0.32 0.335312
1 10 23 0.36 0.478808
1 11 23 0.56 0.746456
1 12 23 0.2 4.891932
1 13 23 0.16 0.981304
1 15 23 0.32 0.558588
1 16 23 0.32 1.279532
1 18 23 0.12 0.944272
1 19 23 0.2 0.360296
1 20 23 0.24 0.737596
1 21 23 0.2 0.5297
1 23 23 0.08 1.223056
1 24 23 0.28 1.790012
1 26 23 0.16 1.131052
1 27 23 0.28 1.276392
1 28 23 0.28 0.731264
1 29 23 0.2 1.684412
1 30 23 0.44 0.527224
1 2 24 0.48 0.397572
1 3 24 0.32 0.7782
1 5 24 0.24 0.686996
1 6 24 0.32 0.62986
1 7 24 0.32 1.172236
1 9 24 0.28 1.766916
1 10 24 0.36 1.073204
1 11 24 0.4 0.642756
1 12 24 0.16 2.621428
1 13 24 0.28 0.836164
1 15 24 0.24 0.9557
1 16 24 0.32 2.606892
1 18 24 0.08 0.491548
1 19 24 0.2 0.306704
1 20 24 0.44 0.859956
1 21 24 0.24 0.502044
1 23 24 0.32 1.486208
1 24 24 0.24 1.067004
1 26 24 0.24 0.583172
1 27 24 0.24 1.520124
1 28 24 0.28 0.591724
1 29 24 0.56 5.926808
1 30 24 0.28 0.252904
1 2 25 0.2 0.522648
1 3 25 0.32 0.6162
1 5 25 0.6 0.817312
1 6 25 0.24 1.13694
1 7 25 0.32 2.641688
1 9 25 0.32 2.670352
1 10 25 0.24 0.785084
1 11 25 0.16 0.951184
1 12 25 0.16 5.043196
1 13 25 0.2 1.282828
1 15 25 0.32 1.029476
1 16 25 0.36 0.56092
1 18 25 0.4 0.498788
1 19 25 0.16 0.362148
1 20 25 0.48 0.570648
1 21 25 0.2 0.643044
1 23 25 0.28 1.883584
1 24 25 0.32 1.26588
1 26 25 0.24 0.567588
1 27 25 0.44 7.468168
1 28 25 0.36 0.580008
1 29 25 0.24 4.82876
1 30 25 0.28 0.448688
1 2 26 0.2 0.3164
1 3 26 0.28 0.352588
1 5 26 0.44 0.597944
1 6 26 0.08 0.686548
1 7 26 0.52 0.731956
1 9 26 0.32 1.471184
1 10 26 0.2 0.981916
1 11 26 0.36 0.89022
1 12 26 0.28 4.073568
1 13 26 0.24 1.541604
1 15 26 0.36 1.275692
1 16 26 0.2 1.590908
1 18 26 0.16 0.549984
1 19 26 0.24 0.404404
1 20 26 0.36 0.646828
1 21 26 0.16 0.414244
1 23 26 0.12 1.577104
1 24 26 0.48 3.360636
1 26 26 0.36 0.324432
1 27 26 0.4 0.400184
1 28 26 0.2 1.006808
1 29 26 0.4 2.722696
1 30 26 0.24 0.381668
1 2 27 0.24 0.46638
1 3 27 0.44 0.420124
1 5 27 0.16 0.791496
1 6 27 0.28 0.51338
1 7 27 0.24 0.601884
1 9 27 0.36 1.276456
